NestID,FemaleID,Female,Year,MaleID,IbuttonFile,Jdate,IncubateDay,Sunrise.Seconds,StartTime,EndTime,MidTime,Length,ClosestHourMid(sec),Length.Minute,OnOrOff,FirstOff,StartTemp,EndTemp,MidTemp,TempRow,Ambient,AmbientNL,AmbientDH,Clutch Size,Sampled
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Early,175,6,16860,22380,22980,22680,600,21600,10,Off,No,23,21,22,52,17.5,15.9,20.4,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Early,175,6,16860,22980,25260,24120,2280,25200,38,On,No,21,23,22,52,17.7,15.9,20.4,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Early,175,6,16860,25260,25740,25500,480,25200,8,Off,No,23,20.5,21.75,52,17.7,15.9,20.4,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Early,175,6,16860,25740,27300,26520,1560,25200,26,On,No,20.5,23.5,22,52,17.7,15.9,20.4,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Early,175,6,16860,27300,27780,27540,480,28800,8,Off,No,23.5,22,22.75,52,17.4,15.9,20.4,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Early,175,6,16860,27780,29340,28560,1560,28800,26,On,No,22,24.5,23.25,52,17.4,15.9,20.4,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Early,175,6,16860,29340,29700,29520,360,28800,6,Off,No,24.5,21,22.75,52,17.4,15.9,20.4,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Early,175,6,16860,29700,31260,30480,1560,28800,26,On,No,21,23,22,52,17.4,15.9,20.4,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Early,175,6,16860,31260,31860,31560,600,32400,10,Off,No,23,20.5,21.75,52,17.4,15.9,20.4,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Early,175,6,16860,38220,38940,38580,720,39600,12,On,No,23,25.5,24.25,52,17.3,15.9,20.4,4,4
2011-40,.IG,F2011.IG,2011,2011.BG,xBG-2 Early,175,6,16860,38940,39540,39240,600,39600,10,Off,No,25.5,23,24.25,52,17.3,15.9,20.4,4,4
